Param,a,b,c
G,1.0872464434852572e-14,1.3203497438000775,0.002216457942755285
BP,2.2892576580963945e-07,0.6450304464352643,-0.012202118831152749
RP,2.7117055561861767e-09,0.8889142634582526,0.0005650887230579325
ePlx,1.08592571e-11,1.23279998,0.0663011417
